,image_local_name,hashtags,deep_features,id,features
31,dc6a4e66-f0ab-4709-aadf-0a561edcea54.jpg,"['#urdupost', '#nation', '#viralpage', '#funfunny', '#fitness', '#pakistani', '#inrepostme', '#viralpost', '#turkey', '#jock', '#pakistan', '#photoghraphy', '#music', '#explore', '#mylove', '#instashoot', '#truelines', '#foryoupage', '#Urdupoetry', '#love', '#Instagramgood', '#istanbul']",[0.         0.00205173 1.2235297  ... 1.5212424  0.08315491 0.03372339],31,"[0.3097553551197052, -0.4709896445274353, 0.0012340382672846317, 0.14833396673202515, 0.02893252857029438, -0.24136050045490265, -0.38097983598709106, -0.4707242250442505, 0.7980514168739319, 0.4241624176502228]"
516,9e994f26-e650-404c-be27-277c5f0f610a.jpg,"['#carlovers', '#carstagram', '#tuning', '#sportcar', '#downpipe', '#car', '#carofinstagram', '#instacar', '#speed', '#caroftheday', '#carphotography', '#tuned', '#carlifestyle', '#carporn', '#drive', '#bsrtuning', '#cars', '#bsr', '#bsrperformance', '#tuningbezpecne', '#exhaust', '#power', '#unleashyourbeast', '#performance', '#jizdasnu']",[1.304335   0.         0.02376387 ... 0.         1.2134749  0.06200276],516,"[0.09324197471141815, -0.6339014768600464, 0.07720019668340683, -0.0014763601357117295, 0.297851026058197, -0.3688946068286896, -0.048454754054546356, -0.21167698502540588, -0.49045905470848083, -0.5825085639953613]"
251,bae07848-5e72-499b-bd0a-167af84b6808.jpg,"['#tripwithfriends', '#dreamtrip', '#likeit', '#traveller', '#travelwithus', '#waunderlust', '#share', '#comment', '#mountains', '#travel', '#newbeginnings', '#tripoview', '#followus', '#travelcompany', '#friends', '#plains']",[0.         0.         0.01025301 ... 0.         0.         0.        ],251,"[0.16292358934879303, 0.016401849687099457, 0.2846241891384125, -0.5956986546516418, 0.29167640209198, -0.10551302880048752, -0.34221911430358887, -0.49031272530555725, 0.432015985250473, 0.060677774250507355]"
451,de790a88-99ac-4f42-b944-9356ceb7993e.jpg,"['#joy', '#placeofsafty', '#orphancare', '#babies', '#hagarschoice', '#makeadifference', '#community']",[0.12848745 0.         0.13516854 ... 0.1147044  0.06543741 0.03386065],451,"[0.051766395568847656, -0.25019848346710205, 0.027888497337698936, 0.08768415451049805, -0.21777819097042084, -0.04064461216330528, -0.37465253472328186, 0.30659231543540955, 0.13609986007213593, -0.06682342290878296]"
85,8e7657df-028f-438d-a34f-58a588412a5e.jpg,"['#annasdietsecretes', '#fitness', '#annapapageorgiou', '#collagen', '#exersiceisnedicine', '#foodismedicine', '#eatwell', '#diet', '#royaljelly', '#evrostia', '#annaslifestyletips', '#nourishment', '#healthylifestyle', '#motivation', '#nutrition', '#antiaging', '#annaswellbeingtips', '#bees', '#dietitian']",[0.         0.         1.3630921  ... 0.         0.22727151 0.        ],85,"[0.5108922719955444, 0.19694706797599792, -0.21676237881183624, 0.6065901517868042, 0.45217904448509216, -0.007889857515692711, 0.038431327790021896, -0.2573447525501251, 0.12146039307117462, 0.31651571393013]"
808,a85808f0-aa64-43e2-8d81-ad2daa6b68ed.jpg,"['#sonyalphain', '#shaazjung', '#nature', '#wildplanet', '#bbcearth', '#wildlifephotographer', '#leopardsofinstagram', '#leopard', '#ssptalenthunt', '#sonyalpha', '#naturephotography', '#wildlifephotography', '#earthcapture', '#indian', '#animallovers', '#bigcats', '#wild', '#animals', '#wildlife', '#rajasthan', '#indianwildlifeofficial', '#wildphoto', '#aarzookhuranaphotography', '#safariwithsuyash']",[0.         0.28750676 0.14317594 ... 0.         0.31530696 0.        ],808,"[-0.14598241448402405, -0.4733085334300995, -0.2804855406284332, -0.0343368723988533, 0.34944817423820496, -0.7165412902832031, 0.038532767444849014, 0.7503988146781921, 0.09087364375591278, -0.3514810800552368]"
883,d8ea691e-d87c-461a-acbc-490d13dd47d6.jpg,"['#sexy', '#actress', '#kerala', '#mother', '#keralagallery', '#troll', '#malayalamcinema', '#india', '#sunnyleone', '#tamil', '#police', '#modelz', '#tamilnadu', '#government', '#birds', '#malayalam', '#indian', '#romance', '#army', '#people', '#god', '#animals', '#keralatourism', '#sistersister', '#keralam', '#nudenails', '#keralagram']",[0.01371581 0.         0.0003089  ... 0.         0.         0.        ],883,"[-0.5935606360435486, -0.18105415999889374, 0.5317555665969849, 0.430794358253479, 0.08581174165010452, -0.6690396070480347, -0.4699733853340149, -0.09863340854644775, 0.22126218676567078, -0.5384904146194458]"
65,7a2a1795-fe83-44d2-b30b-644d19972982.jpg,"['#bitcoinspain', '#forextrading', '#forex', '#ocean', '#tradeathome', '#fitness', '#bitcoininfo', '#binary', '#forexlifestyle', '#bitcoinexchange', '#mark', '#bitcoingermany', '#luxurylifestyle', '#black', '#luxury', '#binarymarket', '#teamenkei', '#bitcoinminer', '#money', '#binaryoptions', '#bitcoininvestment', '#bitcoinsouthafrica', '#investment', '#forexmarket', '#motivation', '#blacklivesmatter', '#forextrader', '#love', '#wealth', '#bitcoin']",[0.04770344 0.         0.         ... 0.03936255 0.         0.58697635],65,"[0.9044604897499084, -0.3265078067779541, -0.58503657579422, -0.1269770860671997, -0.08051907271146774, 0.4532257914543152, -0.44608795642852783, -0.12196564674377441, 0.13474269211292267, -0.42702651023864746]"
458,2742cead-6ee1-4a3d-b092-cf9444a0d916.jpg,"['#activities', '#swimming', '#children', '#dowhatyoulove', '#grenfellfamilyswim', '#drowningprevention', '#education', '#FamilySwims', '#BOSSMindset', '#lifesavingskills', '#wellbeing', '#lovewhatyoudo', '#Kensington', '#fun', '#supportsmallbusiness', '#proudmoment', '#babies', '#adults', '#watertherapy']",[0.         0.04166983 0.58702475 ... 0.28053027 0.33543202 0.        ],458,"[-0.4596095681190491, -0.13743212819099426, 0.6783716678619385, 0.28836894035339355, -0.08048640191555023, 0.036858003586530685, 0.05376054346561432, 0.48787036538124084, 0.4150329530239105, -0.337152361869812]"
879,9e6aff64-caba-4f3c-af1f-cfb180f50eb6.jpg,"['#beauty', '#sports', '#jattwadi', '#Travel', '#viralvideos', '#nature', '#musically', '#instadaily', '#gym', '#tv', '#kaintgallbatt', '#cars', '#kaintgaallbat', '#art', '#keepsupporting', '#bollywod', '#Fitness', '#ibalrajatwal', '#animals', '#adrenaline']",[0.         0.07481981 1.3943743  ... 0.15759091 0.         0.5921181 ],879,"[0.273121178150177, -0.4134014844894409, 0.4203728139400482, 0.02349122427403927, 0.13961662352085114, 0.1691993772983551, -0.003701969049870968, -0.03956448286771774, 0.6084141135215759, -0.7060577869415283]"
970,9a836c72-7481-4ef9-b95b-897ef542fd34.jpg,"['#weddingstory', '#keralawedding', '#weddingsutra', '#instafashion', '#instalike', '#weddingcpuples', '#weddingtrends', '#jinsinkhan', '#instapicture', '#zoyaweddings', '#muslimwedding', '#instadaily', '#weddingphotographer', '#insta', '#instamood', '#wedding', '#weddinginspire', '#candidphotography', '#keralamuslimwedding', '#instagram']",[0. 0. 0. ... 0. 0. 0.],970,"[0.005588054656982422, -0.07369542866945267, -0.05867844820022583, 0.170948788523674, 0.9414132833480835, -0.06888841092586517, 0.26812025904655457, 0.3260994553565979, 0.5187144875526428, 0.11779189854860306]"
53,bc8143f7-4430-4e8a-8ba5-dc6e3d4806bc.jpg,"['#conditioningtraining', '#mma', '#fitnessfactorygyms', '#xtrem', '#kickboxing', '#fitness', '#mmatraining']",[0.1271201  0.07163236 0.         ... 0.88928884 0.7137592  1.824818  ],53,"[0.31341955065727234, -0.0621330626308918, 0.08727489411830902, 0.010184585116803646, 0.29402631521224976, 0.16867969930171967, 0.0013934016460552812, -0.20321226119995117, 0.07432453334331512, 0.09255214035511017]"
804,2380b0e3-7a7c-404f-945c-a182da3e3dd7.jpg,"['#of', '#cats', '#catstagram', '#kittens', '#catsofinstagram']",[0.         1.8669107  0.5339714  ... 0.         0.04136738 2.658914  ],804,"[0.11131708323955536, -0.13392189145088196, 0.04761286824941635, -0.07950466871261597, -0.1585339903831482, -0.17503640055656433, -0.2546822428703308, 0.44679325819015503, 0.2042096108198166, 0.1984887570142746]"
255,3baee27e-baf9-4e97-9ef5-aaafe74dca0b.jpg,"['#design', '#bilbao', '#travel', '#puertasde', '#dise', '#bilbaogram', '#bilbaoturismo', '#Viajar', '#architecture', '#puerta', '#door', '#doors', '#puertasdeinstagram', '#bilbaocity', '#arquitectura', '#bilbaoblogger', '#puertasdelmundo', '#bilbaoarchitecture', '#doorsofinstagram', '#puertas', '#puertasdebilbao', '#bilbaolovers', '#doorsofbilbao', '#doorsof', '#bilbaoarte', '#bilbaomola']",[0.24659614 4.2555156  0.12103615 ... 0.         0.         1.7829733 ],255,"[0.5231126546859741, 0.24204762279987335, -0.8705406188964844, 0.07879926264286041, -0.24844469130039215, -0.15604256093502045, 0.14645008742809296, 0.1759723275899887, -0.02966097742319107, -0.6850528120994568]"
898,1dccdb50-8495-4cbf-b43c-258c16127022.jpg,"['#pet', '#cats', '#nature', '#instagood', '#catoftheday', '#angeloejean', '#catlover', '#instacat', '#autunno', '#cat', '#ilovemycat', '#petsagram', '#furry', '#lovekittens', '#catstagram', '#instagramcats', '#photooftheday', '#animals', '#petstagram', '#lovecats', '#sleeping', '#catsagram', '#pets', '#adorable', '#animal', '#catsofinstagram']",[0.04801978 0.15932097 0.1269355  ... 0.         0.         0.        ],898,"[0.12762579321861267, -0.30682361125946045, 0.11280610412359238, -0.17513011395931244, -0.1699586659669876, -0.18820124864578247, -0.5679696202278137, 0.7160680890083313, 0.43672963976860046, 0.25066590309143066]"
799,3925d0df-8bf6-4942-bbcc-3829f74369d7.jpg,"['#church', '#ko', '#architecture', '#podg', '#poland', '#krak', '#krakow']",[0.21347797 0.         0.         ... 0.12835632 0.         0.        ],799,"[0.0015756129287183285, 0.12675811350345612, -0.053714819252491, -0.2583366930484772, -0.07543767988681793, -0.01277836225926876, 0.28135696053504944, -0.12835900485515594, 0.3623233735561371, -0.18773749470710754]"
472,d84a40f1-8e11-4085-b664-4819c3ffb8d0.jpg,"['#fatherdaughter', '#adorable', '#babies', '#tchcool', '#explore', '#fatherslove', '#cute']",[0.38587898 0.         0.7612662  ... 0.         0.         0.        ],472,"[-0.05332725867629051, -0.28478357195854187, 0.022886546328663826, 0.0714670792222023, -0.13441361486911774, -0.0804363563656807, -0.433885782957077, 0.2761203944683075, 0.3864215612411499, -0.06644566357135773]"
133,cbcd92e3-935b-432c-b21d-b46d72308931.jpg,"['#selfie', '#daily', '#iphone', '#selca', '#likeforfollow', '#likeforlikes']",[2.9090285  0.         0.21388215 ... 0.         0.6996538  0.14600581],133,"[0.10833661258220673, 0.016145501285791397, 0.25413280725479126, 0.037426549941301346, 0.23839150369167328, 0.039397817105054855, 0.15939924120903015, 0.003837455762550235, 0.5650162696838379, 0.1890973150730133]"
853,f0bfdb73-d5bb-4f4f-9d38-60a20a4c5683.jpg,"['#pet', '#instagram', '#of', '#hund', '#ilovemydog', '#puppiesofinstagram', '#love', '#dogoftheday', '#doglife', '#puppies', '#dogphotography', '#dogstagram', '#puppy', '#dogsofinsta', '#cat', '#dogsofinstagram', '#doglove', '#doglover', '#dogs', '#instadog', '#doggo', '#puppylove', '#animals', '#petstagram', '#dog', '#cute', '#doglovers', '#petsofinstagram', '#pets', '#bhfyp']",[0.         0.         1.1378131  ... 0.02543688 0.02584721 0.1750825 ],853,"[0.38305965065956116, -0.4479544758796692, 0.1889302134513855, -0.06892286986112595, -0.032908082008361816, -0.17970889806747437, -0.43121060729026794, 0.7759540677070618, 0.23139503598213196, 0.11682791262865067]"
322,203ae78e-4e2d-4335-98fe-7aa339608de7.jpg,"['#spring', '#ducklings', '#nature', '#babies', '#ecu', '#ducks']",[0.1156338  1.9602633  0.44917503 ... 0.5327986  1.2393271  0.41660523],322,"[-0.10781766474246979, -0.22207437455654144, 0.08582597970962524, -0.07326185703277588, -0.010667658410966396, -0.2878565192222595, -0.3268926441669464, 0.09191354364156723, 0.2845360338687897, -0.1707121580839157]"
78,03ea6547-e469-4433-84f1-b88c8860f7d7.jpg,"['#hotbabes', '#hot', '#beautiful', '#fit', '#bird', '#lingeriesexy', '#sexy', '#beauty', '#model', '#celebrity', '#instagram', '#boobs', '#gemmaatkinson', '#tiktok', '#emmawatson', '#babe', '#lucypinder', '#fitness']",[0.0815428  0.08696226 0.8338276  ... 0.6649179  0.         0.        ],78,"[0.16624924540519714, -0.12810364365577698, 0.03242148831486702, 0.350674569606781, 0.5054079294204712, -0.42837584018707275, -0.2146427184343338, -0.2437271773815155, 0.6740023493766785, -0.0027585357893258333]"
918,ed7bb6e3-bb51-4f53-8635-46a93986b1aa.jpg,"['#likesforlikes', '#bridalattire', '#makeupartist', '#hyderabad', '#makeupart', '#bridalbeauty', '#likeforlike', '#followforfollow', '#weddinghairstyle', '#weddinghair', '#weddingday', '#thebridesmakeoverteam', '#makeup', '#southindianwedding', '#beautymakeup', '#thebridesmakeover', '#covidweddings', '#bridalwear', '#makeupforever', '#weddingphotography', '#wedding', '#bridalmakeup', '#indianbride', '#southindianbride', '#weddinglook', '#mua', '#hyderabdwedding', '#weddingdress', '#southindianjewellery']",[0.         0.5924722  1.5896872  ... 0.08861873 0.         0.        ],918,"[-0.6668092608451843, 0.036901384592056274, 0.484945684671402, 0.23001711070537567, 0.7892038226127625, 0.13463807106018066, 0.407490074634552, 0.002897449769079685, 0.5150887370109558, 0.04845183342695236]"
321,47b2ae34-cb21-4029-9830-2ee2ea21730e.jpg,"['#myself', '#nature', '#fashion', '#beauty', '#instagram', '#instagood', '#picoftheday', '#photography', '#life', '#likeforlikes', '#likes', '#art', '#me', '#follow', '#cute', '#photooftheday', '#happy', '#bhfyp', '#like', '#instalike', '#smile', '#followme', '#style', '#photo', '#beautiful', '#followforfollowback', '#instadaily', '#love', '#l']",[0.06487369 0.         0.6754374  ... 0.         0.         1.2541088 ],321,"[0.24975788593292236, -0.128636434674263, 0.20737773180007935, -0.05183623358607292, 0.33966538310050964, -0.09717299044132233, -0.05776292085647583, 0.2058299332857132, 0.9099377393722534, -0.06507513672113419]"
961,08f6dddd-3981-40e5-934e-e26f11d69265.jpg,"['#wedding', '#formal', '#jamshedpurians', '#stanthonychurch', '#instagram', '#darshxn', '#jesus', '#kharagpur', '#weddingday', '#likeforlikes', '#instagood', '#ootd', '#weddingphotography', '#bibleverse']",[0.27504325 0.         0.6741921  ... 0.93079877 0.         0.44237557],961,"[-0.12868286669254303, -0.19135920703411102, -0.11177048832178116, 0.2226831316947937, 0.37735992670059204, 0.10633332282304764, -0.03350271284580231, 0.2770635783672333, 0.6901222467422485, 0.13333167135715485]"
362,104383c7-45a2-4ae9-b0e6-3737fcd8b815.jpg,"['#abandonedphotography', '#ruin', '#abandonedplaces', '#natureporn', '#naturephotography', '#nature', '#abandonedexcellence', '#abandoned', '#ruins', '#awesome', '#naturelovers', '#abandonedafterdark']",[0.         0.         0.12704408 ... 0.         0.         0.01711443],362,"[-0.12200275808572769, -0.3098372220993042, -0.08140971511602402, -0.5304017663002014, 0.19135180115699768, -0.2568223178386688, -0.20891186594963074, -0.13284508883953094, 0.17579974234104156, -0.11637835949659348]"
613,ad5b86a9-c0db-438e-b635-f9d55bff169b.jpg,"['#cook', '#jamurenoki', '#dietmulaibesok', '#makanenak', '#amazing', '#gagaldiet', '#resepjamur', '#jamur', '#indonesianfood', '#punyamenu', '#videomasak', '#food', '#masakanindonesia', '#jamurcrispy', '#cooking', '#belajarmasak', '#masakjajan', '#nomnom']",[0.24737434 0.         0.3059267  ... 0.         0.         0.        ],613,"[0.28720107674598694, 0.8245093822479248, 0.3044331967830658, -0.23615673184394836, 0.28539514541625977, 0.18086816370487213, -0.09529218077659607, 0.3692142963409424, -0.039931520819664, -0.2883642613887787]"
633,3fcacc43-f27c-4417-b97f-b322b99b140f.jpg,"['#tasty', '#healthyfood', '#cateringservice', '#catering', '#instagram', '#ghana', '#authenticfood', '#foodlover', '#instadaily', '#instafood', '#foodies', '#cooking', '#restaurant', '#healthy', '#foodgasm', '#foodstagram', '#delicious', '#foodphotography', '#homckgbhemade', '#foodie', '#foodblogFlat', '#insta', '#yummy', '#localfood', '#foodpkbm', '#dinner', '#lunch', '#food', '#g']",[0.11157946 1.2338933  0.         ... 0.         0.09004551 0.        ],633,"[0.2905101180076599, 0.491242378950119, 0.10011780261993408, 0.26120129227638245, 0.6553979516029358, 0.12979432940483093, -0.3204061686992645, 0.5009104013442993, 0.16322436928749084, -0.30824196338653564]"
673,548f402a-a0a0-4f61-ac08-d04e5a5c4026.jpg,"['#coffeebreak', '#altwienerisch', '#cafeeiles', '#team', '#enjoy', '#enjoyeiles', '#eiles', '#coffee', '#kaffeehaus', '#coffeelover', '#josefstadt', '#waiters', '#delicious', '#wien', '#coffeeart', '#vienna', '#foodie', '#eat', '#visitvienna', '#love', '#travel', '#welcome', '#dog', '#viennagram', '#autumn', '#wienerkaffeehaus', '#teameiles', '#food', '#coffeetime']",[1.0343933  0.02053228 0.         ... 0.05685749 0.2783234  0.9033261 ],673,"[0.33604517579078674, 0.5834483504295349, 0.5235540866851807, -0.30785390734672546, -0.06396327912807465, 0.2145412117242813, -0.6919028759002686, 0.32258525490760803, 0.34414052963256836, -0.4678175747394562]"
974,34ad0364-9cf9-430f-8091-3bebcf4bae7c.jpg,"['#bride', '#moathousewedding', '#creations', '#staffordshireweddingvenue', '#venues', '#moathouse', '#chargerplates', '#stafford', '#venuestyling', '#rustictables', '#weddingday', '#candelabras', '#candles', '#decor', '#rustic', '#venuedresser', '#love', '#groom', '#wedding', '#flowers', '#florist', '#napkins', '#bespoke']",[1.261244   0.0883099  0.57775927 ... 0.         0.07171082 0.30521694],974,"[-0.3132071793079376, -0.4390011131763458, -0.6314637064933777, 0.24793817102909088, -0.20796948671340942, 0.5941740274429321, -0.17877967655658722, -1.4782941434532404e-05, 0.5870583653450012, -0.16505365073680878]"
857,acd37ed4-cc18-4630-8771-293885781cfd.jpg,"['#draw', '#animals', '#creature', '#drawing', '#francissetober', '#inktober', '#illustration']",[0.         0.         0.         ... 0.01725849 0.         0.42549187],857,"[0.10444189608097076, -0.20450453460216522, 0.14733940362930298, -0.23309481143951416, -0.21522708237171173, 0.16835597157478333, -0.11715620756149292, 0.17090491950511932, 0.22540949285030365, -0.39784297347068787]"
375,facce508-e7c8-42f7-96a8-37b9e769506c.jpg,"['#instadog', '#pitbull', '#instagram', '#instagood', '#model']",[2.2759748  1.0990237  0.30957472 ... 0.45322692 1.7775241  0.51089406],375,"[0.15324537456035614, -0.19563192129135132, 0.07941202819347382, 0.02448962815105915, 0.13364797830581665, -0.21035131812095642, -0.2500719428062439, 0.2854170799255371, 0.42909759283065796, -0.0005480986437760293]"
876,0e6e0bac-29d7-4c5c-a5fa-64b635bb2351.jpg,"['#bluerat', '#pet', '#dumborats', '#rat', '#cutepetsofinstagram', '#petratsofig', '#dumborat', '#ratsareawesome', '#cutepet', '#dumboratsofig', '#petrats', '#Ratten', '#cutepetsclub', '#petratsofinstagram', '#huskyrat', '#petrat', '#ratkisses', '#rats', '#petratsrule', '#animals', '#pets', '#cutepets']",[0.23241222 1.7443811  1.7751384  ... 0.93346995 0.         0.00203045],876,"[-0.009148848243057728, -0.3588791787624359, -0.3118184804916382, 0.06523479521274567, -0.2593894898891449, -0.5665779113769531, -0.8966940641403198, 0.3703477680683136, -0.038971904665231705, 0.3622588515281677]"
976,6402cfeb-e268-43d8-aa7d-2a1d1e44064f.jpg,"['#spengantintradisional', '#indonesianbride', '#weddingku', '#akad', '#sanggar', '#sundaputri', '#pengantinsoloputri', '#hijabbride', '#riaspengantin', '#moslembride', '#akadnikah', '#renyliza', '#sundasiger', '#muslimbride', '#masyaallahtabarakallah', '#makeupnews', '#weddinghijab', '#muajakarta', '#sanggarliza', '#pengantinbetawi', '#weddingmakeup', '#periaspengantinjakarta', '#wedding', '#thebridedept', '#resepsi', '#thebridestory']",[0.0914039  0.298814   0.         ... 0.12014599 0.         0.        ],976,"[-0.1702267974615097, -0.17358343303203583, -0.26455530524253845, 0.19462788105010986, 0.6734067797660828, 0.4704184830188751, 0.8506692051887512, 0.3322249948978424, 0.023181186988949776, -0.10923364758491516]"
950,2a487c84-d10e-4216-be70-4e22e3a02b62.jpg,"['#callingcards', '#vinylstickers', '#businesscards', '#personalize', '#planner', '#giveaways', '#invitation', '#notepad', '#stickers', '#keychain', '#decals', '#refmagnets', '#souvenir', '#customize', '#photocards', '#memopad', '#wedding', '#receipt', '#tumbler', '#bts', '#notebook']",[0.         1.1391155  0.05106919 ... 0.20907898 0.         1.3016608 ],950,"[0.3203890025615692, -0.2811164855957031, -0.302196204662323, 0.1787252426147461, 0.3849235773086548, 0.4195140600204468, 0.11511319130659103, 0.57905113697052, 0.21348851919174194, 0.6820988655090332]"
